Country,"Account ID","Campaign ID","Ad name",Currency,"Amount spent (USD)",Leads,"Cost per lead","Registrations completed","Cost per registration completed","CTR (all)","CPM (cost per 1,000 impressions)",Reach,Impressions,Frequency,"Reporting starts","Reporting ends"
IN,1641083631350576,120246378364180106,"🇮🇳 IN_92 [FortuneGems]",USD,3.7,1,3.7,1,3.7,2.5974026,16.01731602,228,231,1.01315789,2026-07-01,2026-07-17
IN,1641083631350576,120246378364210106,"🇮🇳 IN_92 [FortuneGems]",USD,1.1,,,,,0,16.41791045,62,67,1.08064516,2026-07-01,2026-07-17
IN,1641083631350576,120246378363810106,"🇮🇳 IN_92 [FortuneGems]",USD,1.34,,,,,2.89855072,19.42028986,66,69,1.04545455,2026-07-01,2026-07-17
IN,1641083631350576,120246378364250106,"🇮🇳 IN_92 [FortuneGems]",USD,1.22,1,1.22,1,1.22,1.42857143,17.42857143,67,70,1.04477612,2026-07-01,2026-07-17
IN,1641083631350576,120246378364130106,"🇮🇳 IN_92 [FortuneGems]",USD,3.96,2,1.98,1,3.96,2.38095238,18.85714286,202,210,1.03960396,2026-07-01,2026-07-17
IN,1641083631350576,120246378364270106,"🇮🇳 IN_92 [FortuneGems]",USD,1.2,,,,,0,14.45783133,80,83,1.0375,2026-07-01,2026-07-17
IN,1641083631350576,120246378364330106,"🇮🇳 IN_92 [FortuneGems]",USD,4.64,4,1.16,1,4.64,2.63157895,20.35087719,220,228,1.03636364,2026-07-01,2026-07-17
IN,1641083631350576,120246378363710106,"🇮🇳 IN_92 [FortuneGems]",USD,4.1,3,1.36666667,3,1.36666667,1.88679245,15.47169811,259,265,1.02316602,2026-07-01,2026-07-17
IN,1641083631350576,120246378364480106,"🇮🇳 IN_92 [FortuneGems]",USD,4.2,5,0.84,2,2.1,4.73933649,19.90521327,204,211,1.03431373,2026-07-01,2026-07-17
IN,1641083631350576,120246378845310106,"🇮🇳 IN_92 [FortuneGems]",USD,4.35,7,0.62142857,4,1.0875,3.8961039,18.83116883,222,231,1.04054054,2026-07-01,2026-07-17
IN,1641083631350576,120246379235150106,"🇮🇳 IN_98 [FortuneGems]",USD,1.63,1,1.63,,,2.77777778,22.63888889,72,72,1,2026-07-01,2026-07-17
IN,1641083631350576,120246379235150106,"🇮🇳 IN_96 [FortuneGems]",USD,3.6,3,1.2,2,1.8,3.96825397,28.57142857,121,126,1.04132231,2026-07-01,2026-07-17
IN,1641083631350576,120246379238830106,"🇮🇳 IN_96 [FortuneGems]",USD,0.07,,,,,0,35,2,2,1,2026-07-01,2026-07-17
IN,1641083631350576,120246379238830106,"🇮🇳 IN_97 [FortuneGems]",USD,4.91,2,2.455,2,2.455,3.15789474,25.84210526,186,190,1.02150538,2026-07-01,2026-07-17
IN,1641083631350576,120246379238610106,"🇮🇳 IN_97 [FortuneGems]",USD,2.58,,,,,2.5974026,33.50649351,77,77,1,2026-07-01,2026-07-17
IN,1641083631350576,120246379238560106,"🇮🇳 IN_97 [FortuneGems]",USD,1.05,,,,,0,9.90566038,102,106,1.03921569,2026-07-01,2026-07-17
IN,1641083631350576,120246379238440106,"🇮🇳 IN_97 [FortuneGems]",USD,4.15,3,1.38333333,3,1.38333333,2.67857143,18.52678571,214,224,1.04672897,2026-07-01,2026-07-17
IN,1641083631350576,120246379238460106,"🇮🇳 IN_97 [FortuneGems]",USD,1.37,,,,,1.49253731,20.44776119,66,67,1.01515152,2026-07-01,2026-07-17
IN,1641083631350576,120246379238800106,"🇮🇳 IN_98 [FortuneGems]",USD,1.08,,,,,1.78571429,19.28571429,52,56,1.07692308,2026-07-01,2026-07-17
IN,1641083631350576,120246379238580106,"🇮🇳 IN_98 [FortuneGems]",USD,0.76,,,,,0,12.25806452,60,62,1.03333333,2026-07-01,2026-07-17
IN,1641083631350576,120246379238940106,"🇮🇳 IN_98 [FortuneGems]",USD,1.25,1,1.25,,,0.89285714,11.16071429,103,112,1.08737864,2026-07-01,2026-07-17
IN,1641083631350576,120246379238820106,"🇮🇳 IN_98 [FortuneGems]",USD,3.26,1,3.26,1,3.26,0.84745763,27.62711864,113,118,1.04424779,2026-07-01,2026-07-17
IN,1641083631350576,120246379238470106,"🇮🇳 IN_98 [FortuneGems]",USD,4.62,2,2.31,3,1.54,2.63157895,40.52631579,108,114,1.05555556,2026-07-01,2026-07-17
IN,1641083631350576,120246379238450106,"🇮🇳 IN_96 [FortuneGems]",USD,0,,,,,0,0,6,6,1,2026-07-01,2026-07-17
IN,1641083631350576,120246379238460106,"🇮🇳 IN_96 [FortuneGems]",USD,0.04,,,,,0,5,8,8,1,2026-07-01,2026-07-17
IN,1641083631350576,120246379238940106,"🇮🇳 IN_96 [FortuneGems]",USD,2.3,2,1.15,1,2.3,5.30973451,20.3539823,113,113,1,2026-07-01,2026-07-17
IN,1641083631350576,120246379238580106,"🇮🇳 IN_96 [FortuneGems]",USD,0,,,,,0,0,2,2,1,2026-07-01,2026-07-17
IN,1641083631350576,120246379238800106,"🇮🇳 IN_96 [FortuneGems]",USD,0.02,,,,,0,2.85714286,7,7,1,2026-07-01,2026-07-17
IN,1641083631350576,120246379238470106,"🇮🇳 IN_96 [FortuneGems]",USD,1.2,,,,,0,16.90140845,70,71,1.01428571,2026-07-01,2026-07-17
